t,stateroute,R,Rcore,Rocca
15,2001,75,64,7
15,2006,63,51,7
15,2017,71,66,5
15,2019,71,63,2
15,2021,62,49,6
15,2027,70,63,2
15,2029,71,64,3
15,2034,67,62,5
15,2043,60,56,4
15,2045,72,65,5
15,2047,70,62,5
15,2050,70,54,11
15,2105,64,54,5
15,6014,86,75,6
15,6018,34,19,6
15,6024,54,33,16
15,6025,48,30,11
15,6032,102,76,15
15,7004,80,63,9
15,7005,75,59,10
15,7015,61,45,8
15,7019,78,56,15
15,7020,72,66,4
15,7021,75,64,6
15,7109,54,34,16
15,14001,73,59,9
15,14014,81,71,5
15,14018,69,49,11
15,14021,54,40,9
15,14054,77,52,18
15,14071,80,71,6
15,14080,44,32,11
15,14097,73,52,14
15,14098,76,65,7
15,14108,72,65,6
15,14140,29,19,8
15,14153,75,60,12
15,14155,58,42,10
15,14159,53,38,10
15,14164,78,60,9
15,14166,59,46,9
15,14168,98,75,21
15,14186,72,58,9
15,14188,85,65,12
15,14189,79,73,4
15,17004,64,49,9
15,17009,87,61,17
15,17011,84,59,22
15,17013,31,21,8
15,17037,41,26,12
15,17040,64,40,15
15,17044,45,23,16
15,17052,75,44,22
15,17055,51,30,13
15,18003,77,59,12
15,18009,90,68,13
15,21001,68,61,4
15,21002,66,54,7
15,21003,84,73,9
15,21004,68,60,5
15,25001,62,59,1
15,25002,45,38,7
15,25003,59,49,5
15,25009,57,47,7
15,25014,53,45,7
15,25020,50,43,5
15,25022,46,42,3
15,25025,51,35,11
15,25027,46,35,8
15,25031,47,34,10
15,25037,56,47,6
15,25052,61,50,7
15,25066,47,38,3
15,25067,46,31,12
15,25073,45,39,5
15,25081,32,22,7
15,25086,40,33,6
15,25087,36,22,9
15,25129,41,37,3
15,27010,67,60,4
15,27021,58,53,1
15,27027,76,67,6
15,27033,67,60,4
15,27046,68,56,6
15,27054,65,53,6
15,27057,65,54,7
15,33013,72,46,16
15,33020,43,30,5
15,33021,48,37,7
15,33027,53,33,10
15,33128,57,34,19
15,33212,67,29,21
15,33220,30,16,10
15,34002,72,63,4
15,34014,70,50,14
15,34022,80,60,12
15,34024,49,39,5
15,34025,73,54,13
15,34029,60,45,6
15,34030,66,45,9
15,34038,77,60,9
15,34041,65,45,13
15,34042,59,39,7
15,34044,67,48,10
15,34046,77,62,10
15,34049,78,65,9
15,34051,77,57,9
15,34052,79,64,9
15,34054,76,58,11
15,34055,71,59,6
15,34056,73,61,6
15,34059,76,66,5
15,34060,77,67,9
15,34061,77,64,7
15,34063,76,71,2
15,35005,75,58,12
15,35009,83,68,9
15,35010,74,60,10
15,35011,74,53,10
15,35013,80,68,8
15,35014,76,60,12
15,35034,74,61,10
15,35038,84,76,6
15,36001,85,63,13
15,36003,68,53,7
15,36006,67,57,8
15,36011,75,56,10
15,36013,70,50,17
15,36028,66,50,10
15,38010,63,44,13
15,38014,74,63,8
15,38015,74,59,10
15,38017,62,53,7
15,38026,74,62,7
15,38028,64,54,6
15,38029,72,60,10
15,38030,69,54,9
15,39001,83,68,9
15,39006,70,61,5
15,39009,75,62,9
15,39010,76,63,5
15,39040,69,59,7
15,39044,73,65,5
15,42011,54,45,8
15,42015,57,43,9
15,42018,55,48,5
15,42034,40,29,5
15,42119,70,51,12
15,44006,83,65,12
15,44007,94,75,16
15,44012,88,71,11
15,44013,90,75,12
15,44019,97,68,21
15,44031,90,57,25
15,44032,90,63,14
15,44033,89,65,20
15,44035,86,53,25
15,44041,81,55,15
15,46003,93,78,11
15,46005,74,67,4
15,46006,79,65,12
15,46011,81,72,4
15,46012,51,45,1
15,46013,77,66,7
15,46014,73,64,7
15,46015,79,66,8
15,46016,74,60,6
15,46017,79,65,6
15,46022,68,60,5
15,46029,73,63,6
15,46030,73,66,4
15,46032,78,72,5
15,46033,74,67,4
15,46036,70,61,5
15,46037,74,64,4
15,46038,70,61,7
15,46040,72,61,7
15,46042,80,70,6
15,46043,77,68,9
15,46044,72,65,3
15,46046,68,61,4
15,46047,78,65,7
15,46048,72,65,2
15,46121,67,58,6
15,46123,78,69,5
15,47001,57,47,8
15,47014,84,69,8
15,47018,88,78,10
15,47019,95,76,13
15,47022,93,80,7
15,49012,96,72,14
15,49018,80,65,6
15,49021,86,73,8
15,49033,84,55,22
15,49038,92,65,17
15,49055,83,60,13
15,49073,70,58,8
15,50003,70,46,18
15,50008,67,59,5
15,50015,86,66,11
15,50017,72,61,8
15,50032,71,55,9
15,50033,72,58,8
15,50034,91,73,9
15,50035,92,72,12
15,50037,74,65,3
15,50042,93,59,20
15,50044,78,55,15
15,50048,61,48,7
15,51023,63,46,9
15,51030,56,48,5
15,51113,65,54,8
15,52002,81,63,10
15,52007,80,63,13
15,52010,73,64,3
15,52011,68,62,3
15,52014,76,62,11
15,52016,71,59,10
15,52021,83,64,15
15,52027,84,64,12
15,52131,77,57,14
15,53002,90,66,15
15,53009,45,26,13
15,53014,74,52,15
15,53026,74,52,14
15,53027,76,55,15
15,53028,54,44,5
15,53036,78,54,16
15,53038,67,51,13
15,53040,85,63,17
15,54022,74,58,12
15,55011,46,28,8
15,58001,82,70,9
15,58003,86,77,5
15,58004,89,71,10
15,58007,90,71,11
15,58008,87,70,11
15,58012,85,74,9
15,58013,82,71,7
15,58014,88,79,5
15,58018,85,81,0
15,58019,100,78,12
15,59020,69,54,6
15,59021,93,72,12
15,60010,83,54,19
15,60013,60,38,16
15,60017,55,33,12
15,60019,65,33,26
15,60020,67,41,15
15,60022,79,58,16
15,60023,43,33,10
15,60024,32,21,7
15,60027,49,35,9
15,60029,33,21,8
15,60031,49,30,13
15,60111,64,42,15
15,60112,51,28,17
15,60201,68,38,21
15,61009,78,62,8
15,61029,88,75,6
15,61030,85,70,9
15,61034,89,72,11
15,61038,79,65,7
15,61045,93,76,14
15,61047,76,68,4
15,61048,70,51,15
15,61049,95,68,16
15,61056,87,70,10
15,61057,80,62,11
15,61059,88,78,6
15,61064,72,53,17
15,61065,75,57,13
15,61089,83,64,13
15,61100,81,68,8
15,61111,75,62,12
15,61121,83,61,15
15,61199,91,72,12
15,63002,69,63,4
15,63003,57,50,4
15,63004,66,52,8
15,63010,75,68,5
15,63011,69,58,3
15,63024,77,69,4
15,63030,71,58,8
15,63119,66,50,8
15,64005,59,48,6
15,64009,80,56,16
15,64012,64,49,10
15,64038,60,42,10
15,64039,62,50,8
15,64042,63,50,8
15,64044,85,66,13
15,66002,64,52,10
15,66021,76,66,8
15,66042,68,60,3
15,66073,72,64,4
15,66075,80,67,5
15,66076,79,67,9
15,66082,73,64,5
15,66107,69,47,14
15,67015,70,55,7
15,67022,72,58,12
15,67023,67,53,11
15,67034,37,26,8
15,69019,80,68,7
15,69026,85,70,5
15,69028,80,56,12
15,69029,66,47,12
15,69033,69,54,10
15,69034,83,63,13
15,69057,79,62,8
15,72002,90,66,17
15,72004,81,67,8
15,72006,85,70,7
15,72010,90,64,16
15,72016,83,66,10
15,72022,94,70,19
15,72025,88,67,14
15,72029,99,80,11
15,72031,97,74,14
15,72033,92,78,9
15,72035,100,81,13
15,72047,74,67,6
15,72049,92,76,13
15,72050,88,74,9
15,72053,81,63,10
15,72054,89,76,7
15,72056,90,73,9
15,72057,83,65,7
15,72060,94,68,17
15,72061,85,62,19
15,72062,89,69,12
15,72064,86,70,9
15,72072,83,64,10
15,72083,95,74,16
15,72084,62,50,5
15,72086,65,47,11
15,72088,81,77,3
15,72090,90,75,7
15,72091,82,74,4
15,72132,94,78,10
15,72151,76,54,11
15,72155,88,75,10
15,72165,92,71,14
15,72194,72,52,17
15,80003,62,57,2
15,80005,67,55,8
15,81001,60,49,7
15,81003,53,43,7
15,81029,63,49,10
15,82006,70,57,5
15,82010,77,59,15
15,82016,78,72,4
15,82018,76,69,4
15,82020,71,56,8
15,82034,81,68,9
15,82042,81,64,8
15,82128,74,66,7
15,83009,66,48,6
15,83013,49,27,14
15,83026,56,34,16
15,83033,61,53,4
15,83042,67,53,10
15,83044,64,57,5
15,83045,64,57,5
15,83064,55,43,6
15,83082,52,30,15
15,83098,62,40,16
15,83100,57,40,13
15,83140,69,51,13
15,85004,29,11,11
15,85011,60,34,20
15,85021,78,44,21
15,85024,72,39,24
15,85025,36,19,15
15,85109,16,9,5
15,87005,82,71,6
15,87015,89,77,10
15,88004,76,64,9
15,88005,76,63,6
15,88007,72,62,6
15,88013,81,68,8
15,88014,69,62,5
15,88023,76,69,3
15,88028,72,65,5
15,88043,76,62,8
15,88044,77,63,8
15,89001,62,53,6
15,89002,72,60,7
15,89004,76,65,6
15,89009,59,48,5
15,89016,82,65,9
15,89030,96,61,24
15,89043,74,65,6
15,89111,76,61,13
15,90006,78,62,12
15,90016,75,68,6
15,90019,75,67,7
15,90026,74,68,3
15,90036,77,69,7
15,90048,74,65,7
15,91008,93,77,8
15,91012,103,81,15
15,91014,94,72,13
15,91020,91,77,13
15,91022,95,81,6
15,91024,92,83,2
15,91026,97,81,10
15,91027,96,78,13
15,91028,84,66,12
15,91029,98,80,14
15,91036,85,70,10
15,91039,71,53,9
15,91044,98,87,7
15,91045,94,86,5
15,91048,82,65,11
15,91049,97,75,17
15,91054,75,70,2
15,91055,85,70,10
15,91056,85,73,9
15,91062,69,61,5
15,91063,77,60,9
15,91068,78,67,9
15,91069,80,69,7
15,91070,68,56,8
15,92005,45,39,2
15,92019,80,55,18
15,92028,53,34,14
15,92030,70,50,16
15,92053,63,50,10
15,92063,60,34,20
15,92083,33,22,9
15,92087,78,57,17
15,92104,49,27,13
15,92120,50,32,11
