"dep","ind","r2"
"OA.A","elev.mean",0.0382973175593383
"OA.A","elev.var",0.000937250939375765
"OA.A","ndvi.mean",0.0588467912928255
"OA.A","ndvi.var",0.00257914501744865
"OA.i","elev.mean",0.0767722049619151
"OA.i","elev.var",0.00816874432959908
"OA.i","ndvi.mean",0.0929546459013974
"OA.i","ndvi.var",0.00532084785587496
"OA.k","elev.mean",0.0453309131494903
"OA.k","elev.var",0.00635940859849994
"OA.k","ndvi.mean",0.093663300103751
"OA.k","ndvi.var",0.00480857843148648
"OA.r2","elev.mean",0.00266336895201888
"OA.r2","elev.var",0.00297202496867788
"OA.r2","ndvi.mean",0.000281675079255232
"OA.r2","ndvi.var",5.29087374408635e-05
"ON.A","elev.mean",0.0144453769270789
"ON.A","elev.var",4.70068642006178e-05
"ON.A","ndvi.mean",0.026823823376717
"ON.A","ndvi.var",0.00901200033977655
"ON.i","elev.mean",0.0359839216782143
"ON.i","elev.var",0.000680608664211533
"ON.i","ndvi.mean",0.0862513719230753
"ON.i","ndvi.var",0.00878504001967676
"ON.k","elev.mean",0.0583305152702978
"ON.k","elev.var",0.0172559299683042
"ON.k","ndvi.mean",0.134309631806486
"ON.k","ndvi.var",0.00788299349027888
"ON.r2","elev.mean",0.00358368986159216
"ON.r2","elev.var",0.00404529754918608
"ON.r2","ndvi.mean",3.2341394145726e-06
"ON.r2","ndvi.var",2.35472346982576e-05
"CA.A","elev.mean",0.0212219585617575
"CA.A","elev.var",0.00045641397486459
"CA.A","ndvi.mean",0.0317283620912826
"CA.A","ndvi.var",0.0060552369487265
"CA.i","elev.mean",0.0872602224121174
"CA.i","elev.var",0.0122759749181332
"CA.i","ndvi.mean",0.111752975183246
"CA.i","ndvi.var",0.00454335341977296
"CA.k","elev.mean",0.0295706770413617
"CA.k","elev.var",0.00582122292137358
"CA.k","ndvi.mean",0.0611709459078772
"CA.k","ndvi.var",0.000404104846132483
"CA.r2","elev.mean",0.00290569592038997
"CA.r2","elev.var",0.00226826701197868
"CA.r2","ndvi.mean",0.000853360740740964
"CA.r2","ndvi.var",6.97138694427357e-05
"CN.A","elev.mean",0.00937427166912403
"CN.A","elev.var",5.08089104653768e-05
"CN.A","ndvi.mean",0.0268639425291673
"CN.A","ndvi.var",0.00344817134882064
"CN.i","elev.mean",0.028367648203948
"CN.i","elev.var",0.00105418365735933
"CN.i","ndvi.mean",0.0752366391256833
"CN.i","ndvi.var",0.00167797140819839
"CN.k","elev.mean",0.035851903876167
"CN.k","elev.var",0.0197876697253525
"CN.k","ndvi.mean",0.0903762200403248
"CN.k","ndvi.var",0.00105559016109623
"CN.r2","elev.mean",0.00364218190687147
"CN.r2","elev.var",0.00263008819029791
"CN.r2","ndvi.mean",0.000265022153476768
"CN.r2","ndvi.var",0.000246906367071695
"TAexp","elev.mean",0.0185335200488634
"TAexp","elev.var",0.0174593216269963
"TAexp","ndvi.mean",0.0022464293868372
"TAexp","ndvi.var",0.000375109903694693
"TApow","elev.mean",0.0557450653522947
"TApow","elev.var",0.0231487792566016
"TApow","ndvi.mean",0.0306602651799001
"TApow","ndvi.var",4.85281637425778e-05
"TAexp.r2","elev.mean",0.0235097041016481
"TAexp.r2","elev.var",0.0130189368690475
"TAexp.r2","ndvi.mean",0.0156817833697517
"TAexp.r2","ndvi.var",0.000150778704034605
"TApow.r2","elev.mean",0.0841525101171027
"TApow.r2","elev.var",0.0223883458757649
"TApow.r2","ndvi.mean",0.131510622711534
"TApow.r2","ndvi.var",0.000597711065332391
"TNexp","elev.mean",0.0103681173797472
"TNexp","elev.var",0.0108323613315991
"TNexp","ndvi.mean",0.00236372840200252
"TNexp","ndvi.var",5.10780173858201e-05
"TNpow","elev.mean",0.0557450653522947
"TNpow","elev.var",0.0231487792566016
"TNpow","ndvi.mean",0.0306602651799001
"TNpow","ndvi.var",4.85281637425778e-05
"TNexp.r2","elev.mean",0.0245519153119343
"TNexp.r2","elev.var",0.0155919633374266
"TNexp.r2","ndvi.mean",0.0157619596374297
"TNexp.r2","ndvi.var",0.000287123420155412
"TNpow.r2","elev.mean",0.0841525101171027
"TNpow.r2","elev.var",0.0223883458757649
"TNpow.r2","ndvi.mean",0.131510622711534
"TNpow.r2","ndvi.var",0.000597711065332391
