"m","rsqd","adj.r"
"TNpow ~ temp","0.0301110887212237","0.0291421687299361"
"TNexp ~ temp","0.00605193168573493","0.00505897657253374"
"TNpow ~ varP","0.00135753070317853","0.000359885878706168"
"TNexp ~ varP","0.00224697718563634","0.00125022091908844"
"TNpow ~ meanP","0.0465115539791258","0.045559018069015"
"TNexp ~ meanP","0.00391375141082789","0.00291866025339604"
"TApow ~ temp","0.0301110887212237","0.0291421687299361"
"TAexp ~ temp","0.0108516663005214","0.00986350612699538"
"TApow ~ varP","0.00135753070317853","0.000359885878706168"
"TAexp ~ varP","0.00145260869393499","0.000455058852470325"
"TApow ~ meanP","0.0465115539791258","0.045559018069015"
"TAexp ~ meanP","0.00468762942611008","0.00369331137358864"
"CN.k ~ temp","0.0722452653571453","0.0713184374504091"
"CN.i ~ temp","0.0670404987728212","0.0661084712990677"
"CN.A ~ temp","0.0242596274038265","0.0232848617968372"
"CN.k ~ varP","0.00117139387209804","0.000173563096745433"
"CN.i ~ varP","0.000577949842766574","-0.000420473783764086"
"CN.A ~ varP","0.000440564278538448","-0.000557996596308286"
"CN.k ~ meanP","0.0994149809892119","0.0985152956555346"
"CN.i ~ meanP","0.104506406297496","0.103611807302789"
"CN.A ~ meanP","0.0344121701885104","0.0334475469819054"
"CA.k ~ temp","0.0502609888616655","0.049312198640748"
"CA.i ~ temp","0.0615609568765808","0.0606234553349989"
"CA.A ~ temp","0.0167170883911074","0.0157347877801093"
"CA.k ~ varP","0.000419279300436888","-0.00057930283812424"
"CA.i ~ varP","0.000100646726760647","-0.000898253726059783"
"CA.A ~ varP","0.00027303074199389","-0.00072569749902307"
"CA.k ~ meanP","0.0640475641713202","0.0631125467529099"
"CA.i ~ meanP","0.118417186869027","0.117536484758007"
"CA.A ~ meanP","0.0338121977809491","0.0328469752013096"
"ON.k ~ temp","0.070555405075884","0.0696268889970386"
"ON.i ~ temp","0.0426780661588704","0.0417217005905974"
"ON.A ~ temp","0.00558621873501061","0.00459279837410653"
"ON.k ~ varP","0.000468276399338083","-0.000530256791072325"
"ON.i ~ varP","0.000597312842034723","-0.000401091440840551"
"ON.A ~ varP","0.000295439128565255","-0.000703266726451268"
"ON.k ~ meanP","0.125929778568311","0.125056581543904"
"ON.i ~ meanP","0.0880598907206181","0.0871488616404189"
"ON.A ~ meanP","0.0214760529128094","0.0204985065121228"
"OA.k ~ temp","0.0406063891152291","0.0396479539395199"
"OA.i ~ temp","0.0384520905214158","0.0374915031992593"
"OA.A ~ temp","0.0200105240495635","0.0190315135840785"
"OA.k ~ varP","0.000267427895420425","-0.000731305942845983"
"OA.i ~ varP","0.000116750695462485","-0.000882133669477314"
"OA.A ~ varP","0.000192682928736845","-0.000806125579825956"
"OA.k ~ meanP","0.0813811947815724","0.080463493677458"
"OA.i ~ meanP","0.086942638707526","0.0860304934914494"
"OA.A ~ meanP","0.0506577865965133","0.0497093927769292"
