"datasetID","site","species","propOcc"
47," Redvers"," Anas_acuta",0.961538461538462
47," Redvers"," Anas_americana",1
47," Redvers"," Anas_clypeata",1
47," Redvers"," Anas_crecca",1
47," Redvers"," Anas_discors",1
47," Redvers"," Anas_platyrhynchos",1
47," Redvers"," Anas_strepera",1
47," Redvers"," Aythya_affinis",0.961538461538462
47," Redvers"," Aythya_americana",0.730769230769231
47," Redvers"," Aythya_collaris",0.653846153846154
47," Redvers"," Aythya_valisineria",0.923076923076923
47," Redvers"," Bucephala_albeola",0.115384615384615
47," Redvers"," Oxyura_jamaicensis",0.346153846153846
